id,pca_features
139,"[-4.06991816021,0.410240100838,-3.17210646649,0.15694640749,0.635951491643,0.933885398581,-2.82652789933,0.0444178312066,-1.53751753824,0.311686538366,-0.017153938494,0.881491628854,2.03585800461,-1.30728327174,-2.48165563573,1.87962987304,-0.173533515635,-0.655828165285,1.61130474711,-0.236157765879,-0.935097839653,-0.71665090596,-0.0564183549054,0.0680054481818,-0.698246776037,0.0315021748643,-0.612777146052,0.452389563853,-0.852387910375,0.184473175872,-0.172409092378,0.186744541727,1.32683099814,-0.0427358616176,-0.489886540083,-1.14597456815,0.622519306281,0.91539393072,-0.620869011321,0.675849481197,-0.293853641743,-0.216561203913,-0.215213144371,-0.222422497057,-0.688012879442,0.038312862991,-0.390022583125,0.53835917275,0.379805786572,0.590311969734]"
140,"[-3.67937867536,0.040941232245,-2.74205835908,-0.477859029507,0.3160248576,0.360838263605,-2.90087489592,-0.186660159364,-1.62603914681,0.795378116032,0.904467961018,-0.460615948192,1.60653682673,-1.93488464022,-2.18176004117,2.36496089051,-0.554104193982,-0.08775342127,1.7280267573,-0.459553895631,-0.384288348169,-1.06013456887,-0.118372999121,-0.162647476622,-1.17248959038,0.25872430263,-0.9320012987,0.0146896130607,-0.872889868952,-0.399491119326,0.206982686109,0.874931066441,-0.0204094533057,-0.786509292388,-0.283121973253,-0.499827867752,0.354785223638,0.774229241734,-0.172349149774,0.680578697139,0.0850500032434,-0.420611720061,-0.360231043113,-0.431883172891,-0.322032075297,0.837649667736,-0.663991379135,0.65499935368,0.244061062287,0.286980612045]"
141,"[-5.12470308365,0.145191022162,-2.09530895714,-0.51249148014,0.646472102644,0.00861201028381,-3.73992952665,0.792264325303,-1.93590133063,1.3333977328,0.0586405779044,-0.887783319407,1.99551053066,-1.76869513048,-2.2660922521,2.18044663409,0.10675459077,-0.574688752267,1.18362044648,-0.345122150678,-0.884661404064,-1.09854158913,-0.32798088275,-0.185057237989,-0.98708992842,-0.324833217825,-0.344041133971,0.0579062502485,-0.583022711504,-0.0601096815385,-0.0580591734453,0.181610184031,0.0718555444042,-0.502238781133,-0.189426046099,-0.381685913123,0.470734978133,0.304632829213,-1.03753633483,1.06493119773,0.0762515752655,-0.499769854902,-0.0176718072191,-0.141957331839,-0.466755895464,0.700083785635,-0.725531711539,0.164340315483,0.677370464044,0.277330178378]"
142,"[-3.60332472525,0.392700175699,0.506810218796,-1.67718072716,-3.13267757196,3.18906292305,-3.52852594601,1.27079204662,-2.19274632052,0.231268070603,-0.154266126924,1.94863923827,1.66679101046,-0.173316001842,-1.00897256513,1.69257245645,-1.44881620606,-0.267743072924,1.98014481447,0.0693543792909,-0.326155325366,-0.148359704345,-0.207665987447,-0.763555836424,0.0904893655972,0.102568862677,-0.108035226718,-0.182851389784,-0.648082683278,-0.19271279559,-0.0926347858086,0.393552285187,-0.296137679022,-0.244264293744,-0.00285141732584,-0.396925038542,-0.0162355035537,0.136819011331,0.172090859392,0.282150405189,0.830374169674,0.186396813227,-0.113806711321,0.390282741022,-0.506436929157,-0.924729564402,-0.242509005814,-0.0163602107457,-0.393233689728,-0.480093180282]"
143,"[-6.35900966079,4.00064393162,-0.566010347198,-0.883542694119,0.47695192085,0.88159310777,-0.963986855395,1.24292157469,-1.46043689799,0.0198573849668,-0.13094177286,2.50994852932,-0.286236264082,-2.41953672893,-1.64380879267,-0.0391806693884,0.160801976504,-0.106735485696,1.72357058716,0.548901761558,0.535807055976,-1.06576058411,-0.294083452747,-0.355137659864,-1.75370642777,-0.42721497761,-0.171914867617,-0.799741043214,-0.463956467035,0.409031541384,-1.33355586227,-0.441108480038,-0.026285579475,0.0649366644091,0.159201232192,0.313376175324,-0.319487718609,0.0235334919202,-0.0261801433202,-0.126749030042,1.03374638078,0.267371621484,-0.745985107602,0.4205349297,0.243793206399,0.0701950641287,-0.433815124535,0.967541079926,0.222994696292,-0.486501893281]"
144,"[-1.80827746594,0.878955369289,-2.33414680565,-1.49737846503,-2.59437463251,1.24505906435,-3.09210916804,2.57800487933,-0.966450786903,0.792349783692,-0.146749338788,1.50750022714,1.01193290285,-0.444032999411,-1.82585555958,1.22020776544,0.619274301674,0.348205517959,1.16133115037,1.23808700928,-0.0880958827253,-0.679905561309,1.12223155737,-1.26612406424,0.240944972134,0.0834095801049,-1.25338635073,-0.364430648644,-0.0271905843618,-0.154963425695,0.436477036066,1.32260481708,-0.162226693551,0.485455104991,0.112804762584,0.631270541977,-0.163747576231,0.0262675644983,0.535865652543,-0.760342029731,-0.501917477935,0.0294365129455,-0.00549829609774,0.226000267837,-0.681186880522,-0.427133709467,-0.249176117795,0.238276555035,0.476276524842,-0.322961573453]"
145,"[-1.02648575949,2.09165422214,-0.880868034459,-2.0285048955,-2.82635233837,2.39252226598,-1.37532364088,2.48112041948,-1.08122575598,2.45537829221,-1.23321803573,1.67186539595,1.17237804578,-0.325825348317,-2.09995986421,2.50427779055,-0.102340892517,0.397476074119,0.78121839212,0.595372364117,-0.261613803113,-0.561813435318,-0.435352901742,0.146907462786,-0.0842610422966,-0.312437072859,-0.88584102692,-0.266234143179,0.110093171173,-0.568429840491,-0.160635854069,0.740028982103,-0.32710575599,-0.202683396929,0.0977276344523,0.942267368861,-0.0303007427327,0.15381923044,0.799515986725,-0.307147137192,-0.098437243818,0.122633994111,-0.0873306907793,0.0146405066407,0.0693423625332,-0.344891525574,-0.11485661042,0.325949441049,0.276761988535,-0.255771621103]"
146,"[-1.50018077032,1.01071218046,-0.169555941395,-2.73133985313,-3.14169532976,2.22446760567,-2.43634834384,2.60450774108,-1.00567450069,-1.15949034639,-1.16042555226,0.870003008871,0.792275666422,-0.637894865929,-2.35651671019,1.92529378943,0.189742645974,0.287886569625,1.26035674329,0.301374448144,-0.333395198573,-0.600511511955,0.0743212658587,-0.198561906145,-0.0361150183418,-0.715772264342,-0.661341458846,-0.224005119179,0.136355990973,-0.121364051622,0.289208641509,0.861145517918,-0.123919182942,-0.0291662210952,0.0788416003343,0.709645813447,-0.233174965456,0.277743104959,0.637446912498,-0.477585104516,0.368763957,-0.00510343286662,-0.337607889656,-0.140692484155,0.032838792636,-0.167381302946,0.0789294191987,-0.128301659426,0.111665896922,-0.107915002939]"
147,"[-3.04320311997,1.83560286579,-3.06601580212,-0.90890290228,-0.93922686932,0.900965448209,-1.12762367356,1.12961828294,-3.03306928232,0.136862187127,-2.23583362181,0.983693194313,1.28095793002,-0.676247419481,-0.296801006598,0.880929360417,-1.04769854104,1.32556027325,2.03794919451,-0.744259569542,-0.534584339357,-0.823683947338,-0.229097614708,-0.694003739038,0.0175849311631,-0.24465879513,-0.430060559384,-0.51328353407,-1.89240246107,0.485082668844,0.745902715432,-0.464209333311,0.0437789892134,1.01950252704,-0.403369313982,-0.323487115721,0.159772459175,-0.698474027977,0.384017086493,-1.03570424938,0.199250894059,-0.622417910729,0.268866737663,-0.557218573826,0.0566511137193,0.223993179991,0.0104963663122,-0.0801952208651,0.369120271808,0.0871374567685]"
148,"[-3.06748260116,1.88231827813,-2.90504207151,-0.931614915927,-0.893694887228,0.96529324413,-1.06742800808,1.1601167289,-3.07027890334,0.178682989486,-2.25716873579,0.939605445391,1.32595044153,-0.661828827081,-0.258372543284,0.818365911094,-0.978327528513,1.27674915778,1.92853332601,-0.745930053153,-0.618590872184,-0.855075928823,-0.222065852909,-0.642426431904,-0.0490052261807,-0.221647665242,-0.44604066261,-0.471395406408,-1.8196803606,0.554462432615,0.685247030361,-0.514991300347,0.0358733349307,1.09557766405,-0.521421455514,-0.205144315434,0.172689244543,-0.672574454133,0.318082118621,-1.02424837034,0.258757556094,-0.436439311846,0.353986979805,-0.576430975274,0.0453841749825,0.0431088757753,0.167207756014,-0.0629738475417,0.413153443516,0.0494986838181]"
149,"[-5.82912242394,2.00932740447,-1.21894149418,-0.794282465453,-2.08187106285,1.55299607623,-3.14820378751,3.36814618824,-2.33010365598,0.763002123824,-2.4609986896,1.42121201197,0.789579893607,-0.794361735102,-0.119637503597,1.41455374879,-0.929916928645,1.30101941202,1.02423652801,-0.300423989627,0.0767850831651,-0.929895090422,-0.441869110881,-0.553280038467,-0.153443341646,-0.590480094405,-0.327400673557,-0.270664655336,-1.71429218734,-0.298020045482,-0.0754227483404,0.0417194717735,-0.807474891463,0.915552443193,-0.522066512644,-0.0650276611683,-0.456552641314,-0.00896692234576,-0.0855389747771,-1.3926753078,0.810288300475,-0.369766654561,0.12154643446,-0.754928644141,0.108725609914,0.0782138601732,0.240407930487,-0.133215017572,0.0775281958844,-0.179657218862]"
150,"[-4.97906399734,7.28498636608,-0.203333698085,0.503287511225,0.396799368751,0.862471522862,-3.46495304775,1.19021359706,-1.27852371369,0.0778063699378,-1.8586815174,0.45167538911,1.57633643654,-0.506620463798,-1.43294875243,1.15661534199,-0.460408410987,0.12069035614,0.37369300363,0.387801831844,1.13789504015,-0.859051721323,0.711965126885,-0.473838099623,0.512880140012,-0.0384302685353,-0.460615825596,-1.69178518009,0.000615697292583,1.05378422337,-0.268929181747,0.652317873286,-0.701314718932,-0.739680717944,0.176504304593,0.543811275497,-0.584509161549,-0.862912751095,-0.135415317173,0.0786689551321,-0.244614938522,-0.297211482705,0.289142737461,-0.0614351259411,-0.0604216355601,-0.95565475704,0.343457072956,-0.215824637915,0.817794130895,-0.344367769498]"
151,"[-6.28363942939,6.95521631429,0.769628555489,-0.625088634802,-0.557309978555,0.692513937727,-5.80115210897,2.7070501639,-3.20796512835,1.06458741243,-1.54464872693,1.38039527371,1.33013381062,-3.35482066709,-1.82165309375,2.20633598659,-0.936091883271,-1.06994882496,1.95569129468,-0.134077172633,1.14171518982,0.349365997291,-1.71716045374,0.531925019164,3.00624360147,1.43085403802,-0.680465069749,-1.28668499471,0.570488011629,-0.153358939239,-1.18012447064,0.567572843542,-0.0137671262661,-0.546921308492,-0.626688218695,0.790927032688,0.538642771774,0.383585487773,-2.91942167031,-0.981142795355,0.756739394628,0.367687946438,1.74477830437,-0.200008279636,0.844310016551,0.166022670551,0.576385153681,-0.189622734541,1.82270761362,-1.15532710074]"
152,"[-0.929465139304,1.54986159111,-0.139853504744,-3.64737642377,2.46610930668,0.0775554133786,-1.4246897531,1.89692907963,-3.42193407697,0.428334009629,0.814485917241,0.107790328237,0.70137742125,0.360918221411,-0.90025819121,2.1302210595,-0.48744982223,0.545283300083,1.03569894877,0.999245109328,-0.218737375797,-0.972945473742,-0.0873029977335,-0.414663986351,-0.0308444077784,-0.0630257857613,0.27417476539,-0.0172291981075,-0.454501585113,1.11167663367,0.272082160915,0.0660713858339,-0.199348981583,-0.628789363169,-0.940339529933,-0.0880466822618,0.67300830506,-0.218699712219,0.276947465063,-0.304322300599,0.36334239645,-0.598959159028,0.08545707357,0.444484016224,0.0330215831486,0.251986302584,0.802740079632,0.08289923649,0.306346657072,-0.14692228307]"
153,"[-1.3913902758,1.51007545194,0.0584566063173,-3.38043548547,2.17725984005,0.283887413409,-1.38431999498,1.8478863352,-3.30885319174,0.493633230467,0.708803235096,0.0577664885983,0.699718820178,0.519616138446,-1.19959016383,1.85989574095,-0.479061980559,0.534629261283,0.982922222269,1.47228841565,0.0348906267099,-0.940385553383,-0.135143353451,-0.339391657606,-0.000360177361449,-0.120285931052,0.235321709859,0.120394804963,-0.487663051443,0.893882634141,0.293782247402,0.232167597359,0.107791954332,-0.759034145869,-1.06694204561,0.00628009946431,0.5696177764,-0.428407106748,0.372672612562,-0.299927308182,0.544615424015,-0.441733894124,0.38071643321,0.42820649499,-0.166521920463,0.14086546024,0.656080309013,-0.00624250870221,0.147881866108,0.0211175045387]"
154,"[-1.91648635847,1.4530340507,0.313360763524,-3.12007363757,2.30678717899,0.865731166743,-1.8965208153,2.33629573886,-3.64773935195,0.644627174191,0.211104532925,0.589312645123,0.597527236976,0.765816734591,-1.40065525185,1.24726867923,-0.44917468272,0.257669899666,0.464266544625,1.55052685072,-0.425685535873,-0.951118960206,-0.277808429499,-0.542445247468,-0.141092302188,0.0354801182075,0.192733083244,-0.0587698202234,-0.270347492145,1.10253818705,0.315181130598,-0.388170468966,-0.0458241183545,-0.641718060153,-1.03755822513,-0.279931040155,0.545089028184,-0.39360576231,0.320587810064,-0.439562342306,0.67808683144,-0.282640074036,0.457334866586,0.552365772655,0.193823621311,0.187908629071,0.49504553052,-0.0707291547312,0.197289090272,-0.0617011072999]"
155,"[-2.55736094741,1.20019314209,0.251011869289,-2.79953488812,-1.01558089829,0.865691813462,0.341916096313,0.509686110699,-2.05751142729,-1.68814790138,-0.3911199488,-1.22163416036,0.240527450076,-0.118577927693,-2.87676036806,2.31896937267,-0.875641175063,0.255654953089,1.2015255643,0.423346164559,-0.0541589587825,-0.540185612303,-0.359952525497,-0.708364955758,-0.57540948361,-0.503452547698,-0.276389005094,0.459984708601,0.0992764509453,0.738192787264,0.450028880563,0.204143351753,-0.115587503516,0.643583453562,-0.23074231143,0.379323385124,-0.0581193804252,0.117016903157,0.680121572636,-0.36369769527,0.353477619841,0.0756355255205,0.0786870901779,-0.411905869157,0.308710193751,0.235746255141,0.293405573948,-0.42054860078,1.00011886045,0.257535578659]"
156,"[-3.20227660119,1.05485021779,0.547961044819,-2.64060675349,-0.905681966107,0.950190745781,0.228177421255,0.858450665904,-2.48872859779,-1.37252959495,-0.474446108183,-1.18350410803,0.128954721882,0.203383951692,-2.92960836085,2.10769571137,-0.714760070786,0.288953535504,1.11342378033,0.985398442871,0.468267490578,-0.49992540009,-0.563664520204,-0.657401073254,-0.25941339521,-0.683057603495,0.168304419699,0.594305774462,-0.231901500095,0.307723617059,0.373165772232,0.274871348859,-0.0298984823291,0.483319449737,-0.261952357044,0.257070709603,-0.0261580870892,0.102726261907,0.32456614389,-0.477320621579,0.49066223728,-0.0411340546832,0.37951601387,-0.559673781486,0.235633982579,-0.162189400338,0.26232523569,-0.395789330655,0.736528832555,0.178099550621]"
157,"[-5.31713253807,1.85552073364,1.67439792707,-2.38947492295,-0.305121476062,0.951397954147,-0.408920518179,1.57053898723,-1.563233715,-1.24810156205,-1.18525068464,-0.721115741838,-0.591275319267,0.183373699334,-3.02463717657,2.02837171093,-0.508385709694,-0.178184061242,0.68766591882,1.416252749,0.414175199005,-0.59561953578,-0.837723225023,-0.882189029557,-0.765971675234,-0.598469013355,-0.0886759777352,0.269536272029,0.33709696207,0.578370779634,0.286613933768,-0.0834316062396,-0.279136917601,0.613464891498,0.0448589559806,-0.430689671551,0.109551705716,0.577120418661,0.081022656407,-0.100967745201,0.434526404076,0.0202048455485,0.27106167094,-0.178819502155,0.454625864904,-0.0437232257103,0.555641333839,-0.424109198638,0.867699928928,0.116817476169]"
158,"[-5.50724751719,0.802922473186,-1.96471227945,-0.233491584728,-0.429004737413,-1.81779109153,-2.32610019606,0.725325078808,-1.70358461403,0.852670170055,-0.106001083785,-0.824324491689,0.500656935756,0.0027705472621,0.24701285969,2.58985288904,-1.10668947816,-0.445495368873,2.12890948989,0.617972142585,0.185639021584,-1.37060587487,-0.530566836276,-0.713903527126,-1.91253348309,-0.33287591452,-0.441918479953,0.816366829751,0.413123527958,0.122411228127,0.800767434358,0.546851517179,-0.197060582044,-0.267273297595,0.389910085795,0.607132035074,0.447125576612,0.0372486005825,0.322258411267,0.221810833009,0.165730978598,0.0905978263813,-0.239299709259,0.610013056175,0.9343206128,-0.0231116200457,1.25793909237,-0.429403237586,0.245161855686,-0.332892358436]"
159,"[-5.97979032188,0.728828207062,-1.57044398198,-0.217664092743,-0.347056035956,-1.56123009374,-2.33841593077,0.870651489283,-2.0422780063,0.917040739395,-0.243373931351,-0.797584807783,0.466000098187,0.270047724111,0.0549161862135,2.23532826469,-0.967132798678,-0.29266373989,2.02080044621,0.985763608911,0.480566242651,-1.41237964966,-0.469040570699,-0.565076664075,-1.80169990524,-0.242648029442,-0.360660237197,0.884893301749,0.406157691923,-0.140268836112,0.754256288705,0.594033902297,0.105970750497,-0.550802344066,0.323626209601,0.506242803753,0.422172277969,0.160178793162,0.24059161079,0.279893338046,0.0876701552273,-0.0168580925456,0.249819347058,0.705522519056,0.85368344166,-0.189890583648,1.08779813267,-0.498653207153,0.26435285857,-0.311174636376]"
160,"[-6.70952549924,0.668209341959,-1.30367815746,0.183575016451,-0.390410273583,-0.962016510889,-2.96450928635,1.52619627615,-2.32929146172,1.14565564817,-1.01456984929,-0.184068642967,0.36621868341,0.594809232872,-0.0445350282633,1.56798105838,-0.941225031772,-0.55075028974,1.50029040008,1.07795250297,0.0993259973485,-1.44186794237,-0.589158448856,-0.770320576856,-1.86534136753,0.0844989993452,-0.424194389853,0.581962356295,0.489379263957,0.168379889993,1.06710789427,0.0123187933516,-0.154754095506,-0.123664096355,0.303711646353,0.165734202562,0.484324171139,0.116899791557,0.0921942951872,0.0797030066059,0.357585560066,0.0119565455208,0.250877160703,0.875861069385,1.20642083107,-0.260426910248,0.964199825324,-0.531523620861,0.50649832269,-0.520827035934]"
161,"[-4.03836061568,3.14774728732,-0.0288198258571,-1.93161422823,-1.40941535488,-1.57655196598,0.184449878458,1.25949335648,-2.98960492144,1.21157079321,1.54276864147,-0.205106982899,-0.513158376245,-1.88916301955,-1.98222245662,0.987907458852,-1.41186537651,0.513336151707,0.483926604784,-0.0136760797431,0.746223333847,-0.547283834336,-0.0475902208757,-0.364716982071,-1.45611474794,-0.244423402728,-0.572424114075,0.544751872582,-0.779076654985,0.752242562514,0.309824498144,0.442523493748,0.297850363668,0.665764594543,-1.24968733154,-0.0370903593785,0.355231842942,0.777631950411,-0.27916067289,-1.2180568418,0.672458332631,-1.16524862042,0.518246651471,0.270361152767,0.490236629847,0.523469162921,-0.280841711007,-0.294554050999,-0.285666732989,-0.409235149032]"
162,"[-4.64843371367,3.32729565003,0.0267113836831,-1.47116753587,-1.25222494874,-1.34131229415,-0.287200213595,1.7777105223,-3.23009390383,1.4023101919,0.677703327757,0.401249832828,-0.813016305491,-1.72014184268,-2.57919191216,0.593466549649,-0.879649236605,0.106168799422,-0.1077779835,0.327349524281,0.458547547694,-0.330611371731,0.179257173342,-0.121981288725,-1.33411878889,-0.455753429548,-0.937571535207,0.709899494315,-0.740729292518,0.468538010492,0.755656013939,0.479280110063,0.517486835931,0.576407933637,-1.32705252998,-0.189802409022,0.322938724305,0.553447194952,-0.153332177513,-0.95087774136,0.383694105214,-0.985618033964,0.79436237518,-0.171417986968,0.601992761744,0.32654819393,-0.215629860412,-0.0384446030099,-0.416560732251,-0.307022063469]"
163,"[-0.440005025222,2.70577123971,-0.904798636429,-2.84611461022,-3.52906347293,0.912923422776,-2.55356310978,2.09645466754,-0.79058564571,0.125048540974,2.01762778849,1.37833227552,0.869106401109,-0.771727779472,-1.4026674042,1.44516895626,-0.687214269994,0.61979225214,0.9155536303,0.910322707228,0.771697620491,-1.04050443975,-0.717562031319,-0.372325486753,-1.00645699945,0.533159926851,0.424527379216,-0.575312063536,-0.254160526889,0.102497244074,0.497628770479,0.220847855612,-0.273982962211,-0.720394469685,-0.0403681504317,-0.0665985592087,1.21554774398,0.531053009312,0.647208790098,-0.483563640393,0.088134637857,-0.270720287016,-0.387702472134,-0.055583398771,0.177650698147,0.43463188317,-0.403090907352,-0.107724317051,1.15606662291,0.40929596]"
164,"[-0.581319340707,2.81040244922,-0.77878120371,-2.52921541196,-3.13736687762,1.10376330427,-2.63880264981,2.33070097155,-1.12635773034,0.188154860368,1.48986024442,1.46094519172,0.80479724021,-0.588390057189,-1.83821824988,0.840958260614,-0.445405998772,0.187207276095,0.578941612542,1.09304301029,0.227419049875,-0.762852988175,-0.658193265252,-0.626548379645,-1.36174602986,0.397131301765,0.265483835704,-0.184903529709,-0.15387917345,0.069912851862,0.539287737445,-0.0958307963063,-0.0963281138094,-0.793087384511,-0.0614877702304,0.132975316679,1.26930060095,0.209560173605,0.415053339042,-0.319890256862,-0.139896171395,-0.273809139686,-0.201877992755,-0.144394548895,-0.0707139959907,0.517305046258,-0.442910977049,-0.134995564263,0.994037106094,0.511792381073]"
165,"[-1.64949760008,2.02197569354,0.0878029733466,-3.30371362274,-0.697878492442,-0.332686311883,-2.27989147902,1.4459310747,0.406291125221,1.4544726984,-0.418137765589,0.334432299375,-0.203521036092,-1.23009583125,-1.85766422863,1.31598507545,-2.23682944979,-1.40718596046,2.12198215159,0.791364510189,0.984152657441,-1.20102015434,-0.16714920651,-0.745841263703,-0.227668531633,0.747452157663,0.379199443815,0.74411596298,-1.86796900273,0.230551467799,0.454825921573,0.675857002603,0.0936888872076,0.329176720082,0.271055177163,0.243804247125,0.0974992557462,0.118500639796,0.0432818212377,-1.28203665214,0.442583328361,-1.28575064966,-0.110736596772,-0.0675351701336,-0.00178288380216,0.380295850881,0.733364562525,-0.595141312381,-0.0728499329096,0.710715636018]"
166,"[-2.12937274469,1.95568126986,0.548810682013,-2.91259557749,-0.620488972887,-0.149655356809,-2.64992714859,2.06269618883,0.146202448461,1.50374786801,-0.81864329591,0.689009753473,-0.426715158125,-0.76491038172,-2.59238620061,0.810670925217,-1.70445245121,-1.59241381148,1.59127363074,1.3115902197,0.740165691936,-0.968457252581,-0.374937334658,-0.546184192588,-0.366577447978,0.428925311291,0.351774665429,1.03647353855,-1.7490536475,0.108890665192,0.584255842253,0.510279289554,0.334357002236,0.289594642971,0.0431308234428,0.0938788916136,-0.00331516714409,0.0153912137858,0.0291137895708,-1.40771447966,0.340039247876,-1.28869868643,0.17381053944,-0.00769127241259,-0.184419373905,0.29487409311,0.833709362312,-0.368319869124,-0.0824777557182,0.78806186976]"
167,"[-0.745195589419,1.04097744229,-0.134106418625,-2.65914954987,-0.0492183983369,-0.248841407243,-2.11493003885,-1.14142502864,-1.2018054088,1.635011346,-0.705397988161,-0.552212660834,-0.0988591018148,-1.24247282448,-2.37375233477,0.034209316102,-2.65416187207,-0.277632809651,2.21365595099,1.23541607277,0.37118438281,-1.37993875595,-0.597930704531,0.323983209314,-0.53597552873,1.24938456412,-0.314837775006,-0.805721242703,0.0936913539879,0.798297982546,0.94933213204,0.0523936210205,-0.666749097026,-0.097607724134,-0.943016624441,-0.205708527112,0.0934859164844,0.783194221583,0.983151915727,-0.192451452547,0.070103414564,-0.102520351752,0.452540159517,-0.416113424735,-0.39911767707,-0.793998303613,-0.323702491908,0.0476588492804,0.578335053691,-0.394503584558]"
168,"[-0.869612967909,1.02265263855,-0.0692086051865,-2.41738706692,-0.0703001157231,0.0214838833242,-2.27135595435,-0.721408551847,-1.27823360038,1.52419292643,-1.18240789561,-0.263285738168,-0.203075573031,-1.10959082378,-2.87803542718,-0.261530321976,-2.22344984043,-0.739591441206,1.82409972491,1.38914282647,-0.193219160044,-0.946033507594,-0.711893573639,0.192077463337,-0.879368807465,1.17011843149,-0.468638330301,-0.614048896614,0.180445253167,0.645799170521,1.06228070862,-0.0721407890534,-0.708780572002,-0.093835524755,-1.04911517865,-0.204648691348,0.176668035158,0.680576036779,0.715177616778,-0.2053620254,-0.381559668458,0.0394081728971,0.33530370865,-0.562096379452,-0.225024074542,-0.641750710236,-0.327313740448,0.274102575827,0.510106217267,-0.403322892483]"
169,"[-0.597578472095,1.30495389807,-0.0313290963746,-2.40344736805,-3.40310578669,0.0923964788782,-3.5614809298,0.302479871389,-1.43599492046,0.796278637985,-0.103214850556,2.2964621664,0.226621933558,-0.508927978836,-1.8736638866,1.46287963947,-1.44940314764,-0.406874880332,1.58989402764,1.1843240064,0.274875639878,0.417081502526,-0.288755841093,-1.07823802617,-0.200717583279,-0.00620787537745,-0.253722951809,0.402916680185,0.457030631081,0.80349104854,0.728889508539,0.327344359527,-0.351539798246,-0.282709912019,-0.380125206534,-0.678313234357,-0.475114044037,-0.357260541052,-0.212312765884,0.161273209221,-0.046387719634,-0.176715763191,-0.660461967347,0.215132801544,0.567346514084,0.400982011017,-0.756878723559,-0.239618706628,-0.826351214376,0.302648507344]"
170,"[-1.71992525849,1.69537737907,-4.17552756709,0.247051002903,-0.294794953217,-0.450622251584,-0.418713657377,0.369389205715,-1.91008175247,1.65740431111,-1.21509356823,0.950092063506,0.231326953541,-0.55201520502,-2.53119449446,2.75131424114,-1.06225133633,0.342466690212,1.70051098469,-0.160142687453,-0.107157824946,-1.04675987209,-1.05653383403,0.632748964146,-0.654007821368,1.14774725891,-0.0111204647078,-0.524868869794,-0.184448680841,0.482655772972,-0.465158798382,0.421446473401,-0.894049793318,-0.403847162988,0.165905890922,-0.443177193648,-0.778680371098,0.558398907727,0.545648440596,-0.0718379815505,-0.269001446044,0.0815724166627,0.340048750402,0.381485659834,0.394398838181,-0.307061167789,-0.305074924802,0.821068714704,-0.125076681561,0.52852361361]"
171,"[-1.8516703073,1.69592223256,-4.04452862309,0.446534383285,-0.191943436648,-0.272207438854,-0.694588432532,0.608146056703,-2.24334279794,1.68762314288,-1.65093411756,1.36122561052,0.10267931593,-0.444230255639,-2.84912710682,2.29081809833,-0.845192548994,0.0887712637156,1.24459383663,0.0731210045393,-0.629603630897,-0.675442966525,-1.21758033071,0.511504610217,-0.813882266068,0.575065054719,-0.199043943404,-0.19393491175,-0.228621327697,0.342478195336,-0.510095951154,0.0528456247388,-0.834764575307,-0.485872548142,0.0984414263249,-0.224113524067,-0.611156228991,0.643246884635,0.112994715975,-0.0355339430739,-0.595567077276,0.38539507151,0.345005139897,0.473935580101,0.231652900557,-0.128016653585,-0.112681823258,0.511670395783,0.0221094245473,0.68762450249]"
172,"[-2.3467238445,3.55732318304,-1.01786644128,-1.88517400632,-0.212641708554,0.276921526671,1.7848726661,0.903140813365,-1.5286678232,2.30417874287,0.0455318191448,0.414422097322,0.22406399588,-0.0655058125419,-1.44526004048,2.80754942407,-1.46185054173,-0.321692133043,1.43923814104,1.12683927537,-0.990536610843,-0.567741875608,-0.968698224411,-0.235071919598,0.196989320557,0.514287473216,-0.91525301971,0.0317814745006,0.00407269911597,0.0839208814992,0.0921829604716,0.131444207694,0.104578270957,0.861182472388,-0.574127086843,1.04666081226,0.736053817184,-0.144034374116,-0.221896714781,-0.135334465128,0.0709256732045,0.63550707926,-0.488066277134,-0.0870816901384,0.51979489829,-0.42042044861,-0.48483357698,-0.398254234749,0.606149433578,0.0270659052002]"
173,"[-2.43201957032,5.81375506798,-0.738499522503,-1.27779296369,0.297053037198,0.17898433358,0.00779933117843,1.80070628861,-2.06042117763,-0.726428869457,1.6339929132,-0.222583569407,-0.0236741308255,-1.48201943167,-0.738387983965,1.12776785054,-1.61144874186,-0.43928492147,3.11796071093,0.961985354837,-0.919205519224,-0.482642255718,-0.795758873841,-0.489514751817,0.279747443657,-0.142954972345,-0.552471264251,-0.615695542597,0.454232155656,-0.0585997068357,0.72342864928,-0.943763824387,0.312817917335,-0.160065916197,-0.106131573487,0.568284328657,0.238476105578,-0.7434336257,-0.139577750814,-0.506262690785,-0.282806867976,0.778799996801,-0.0605032024764,0.676419002953,-0.153194806276,-0.374955221237,-0.369929762565,-0.351690821308,0.413775988822,0.595425019371]"
174,"[-2.38606585518,5.04994179813,-0.664570525431,-1.61993454398,0.00892343563108,-0.0450349322796,0.31245629513,1.43157311372,-2.13055650697,-0.440474565965,1.66635472321,0.37061846389,-0.432481728773,-1.62730654194,-1.33284600532,0.96602382362,-0.732767753064,-0.24634558274,3.17770136531,0.84271860471,-1.46423702225,-0.510646269969,-1.22991448173,0.091484497996,0.316746043446,0.00193337037955,-0.371857248683,-0.882416484799,0.415844888369,-0.161613034187,0.727595272919,-0.137946730152,0.0361821589315,0.376454033214,-0.104387622933,-0.250125657244,0.142115300994,-0.927933128353,0.782892752433,-0.355763998323,-0.140622210448,0.69072065837,-0.126515332669,0.643202600519,0.144025286505,0.345900841828,0.858273144138,-0.603183275407,0.893999184464,0.845807727394]"
